iter	Passed	Remaining
405	7059	10328
406	7066	10296
407	7076	10267
408	7087	10241
409	7096	10212
410	7107	10186
411	7115	10155
412	7126	10128
413	7153	10125
414	7169	10105
415	7181	10081
416	7198	10063
417	7212	10041
418	7226	10020
419	7237	9994
420	7249	9970
421	7259	9943
422	7270	9917
423	7282	9892
424	7292	9865
425	7321	9865
426	7364	9882
427	7393	9881
428	7417	9872
429	7445	9869
430	7452	9839
431	7463	9812
432	7471	9783
433	7480	9755
434	7488	9726
435	7503	9706
436	7513	9679
437	7518	9647
438	7529	9622
439	7535	9591
440	7551	9572
441	7570	9557
442	7594	9548
443	7608	9527
444	7621	9505
445	7636	9486
446	7647	9460
447	7670	9450
448	7684	9430
449	7693	9403
450	7706	9381
451	7719	9359
452	7742	9348
453	7775	9351
454	7801	9344
455	7864	9382
456	7873	9354
457	7884	9330
458	7904	9316
459	8162	9581
460	8177	9561
461	8190	9537
462	8197	9507
463	8211	9486
464	8224	9462
465	8236	9438
466	8247	9412
467	8259	9389
468	8273	9367
469	8282	9339
470	8295	9317
471	8313	9299
472	8320	9270
473	8330	9244
474	8337	9214
475	8345	9186
476	8351	9157
477	8359	9129
478	8367	9101
479	8376	9074
480	8382	9045
481	8390	9016
482	8398	8990
483	8405	8961
484	8412	8932
485	8417	8902
486	8423	8873
487	8430	8845
488	8436	8815
489	8441	8785
490	8447	8757
491	8453	8728
492	8467	8707
493	8476	8682
494	8486	8657
495	8492	8629
496	8501	8604
497	8508	8576
498	8516	8550
499	8526	8526
500	8556	8522
501	8581	8512
502	8612	8509
503	8637	8500
504	8668	8497
505	8702	8496
506	8710	8470
507	8716	8441
508	8722	8413
509	8728	8386
510	8733	8357
511	8737	8327
512	8745	8302
513	8754	8277
514	8763	8252
515	8768	8225
516	8774	8197
517	8781	8171
518	8788	8144
519	8798	8121
520	8804	8094
521	8810	8068
522	8816	8040
523	8821	8013
524	8829	7988
525	8834	7961
526	8840	7934
527	8854	7915
528	8860	7889
529	8869	7865
530	8876	7839
531	8883	7814
532	8889	7788
533	8894	7762
534	8904	7739
535	8928	7729
536	8942	7710
537	8957	7692
538	8965	7668
539	8975	7645
540	8984	7622
541	8992	7598
542	8999	7574
543	9010	7552
544	9025	7534
545	9031	7510
546	9041	7487
547	9047	7462
548	9053	7437
549	9062	7414
550	9068	7389
551	9075	7365
552	9082	7341
553	9089	7317
554	9097	7294
555	9103	7269
556	9111	7247
557	9118	7222
558	9125	7198
559	9130	7174
560	9136	7149
561	9145	7127
562	9151	7103
563	9165	7085
564	9172	7062
565	9180	7039
566	9187	7015
567	9193	6992
568	9200	6969
569	9206	6945
570	9214	6922
571	9220	6899
572	9226	6875
573	9233	6852
574	9239	6828
575	9243	6804
576	9251	6782
577	9256	6758
578	9262	6735
579	9267	6710
580	9271	6686
581	9275	6662
582	9281	6638
583	9291	6618
584	9298	6596
585	9323	6587
586	9336	6569
587	9347	6549
588	9356	6529
589	9365	6507
590	9372	6485
591	9381	6465
592	9388	6443
593	9398	6424
594	9405	6401
595	9413	6381
596	9420	6359
597	9427	6337
598	9435	6316
599	9442	6295
600	9450	6274
601	9457	6252
602	9499	6254
603	9536	6252
604	9563	6243
605	9577	6227
606	9584	6205
607	9591	6183
608	9597	6161
609	9604	6140
610	9609	6118
611	9615	6095
612	9620	6073
613	9625	6051
614	9630	6029
615	9635	6006
616	9641	5984
617	9646	5962
618	9651	5940
619	9657	5919
620	9661	5896
621	9667	5875
622	9674	5854
623	9678	5831
624	9683	5810
625	9689	5788
626	9695	5767
627	9701	5746
628	9706	5724
629	9712	5703
630	9717	5682
631	9722	5661
632	9728	5640
633	9733	5619
634	9739	5598
635	9745	5577
636	9749	5556
637	9755	5534
638	9760	5514
639	9765	5493
640	9770	5471
641	9774	5450
642	9780	5430
643	9784	5408
644	9789	5388
645	9794	5367
646	9799	5346
647	9805	5326
648	9810	5305
649	9815	5285
650	9822	5265
651	9827	5245
652	9831	5224
653	9836	5204
654	9841	5183
655	9846	5163
656	9852	5143
657	9857	5123
658	9861	5103
659	9867	5083
660	9872	5063
661	9877	5043
662	9883	5023
663	9888	5003
664	9893	4984
665	9899	4964
666	9905	4945
667	9911	4926
668	9917	4906
669	9921	4886
670	9926	4866
671	9930	4846
672	9936	4828
673	9941	4808
674	9945	4788
675	9951	4769
676	9957	4750
677	9962	4731
678	9968	4712
679	9974	4693
680	9978	4674
681	9982	4654
682	9987	4635
683	9992	4616
684	9996	4597
685	10001	4577
686	10006	4558
687	10010	4539
688	10015	4520
689	10019	4501
690	10024	4482
691	10029	4464
692	10034	4445
693	10040	4426
694	10044	4408
695	10048	4389
696	10053	4370
697	10058	4351
698	10063	4333
699	10067	4314
700	10072	4296
701	10077	4277
702	10083	4259
703	10088	4241
704	10093	4223
705	10099	4205
706	10105	4187
707	10110	4170
708	10115	4151
709	10120	4133
710	10125	4115
711	10131	4097
712	10139	4081
713	10144	4063
714	10148	4045
715	10153	4027
716	10159	4010
717	10164	3992
718	10169	3974
719	10174	3956
720	10179	3939
721	10184	3921
722	10189	3903
723	10194	3886
724	10199	3868
725	10205	3851
726	10210	3834
727	10212	3815
728	10217	3798
729	10222	3781
730	10227	3763
731	10233	3746
732	10238	3729
733	10245	3712
734	10250	3695
735	10255	3678
736	10261	3661
737	10266	3644
738	10272	3628
739	10279	3611
740	10286	3595
741	10292	3578
742	10298	3562
743	10303	3545
744	10308	3528
745	10315	3512
746	10320	3495
747	10325	3478
748	10332	3462
749	10337	3445
750	10343	3429
751	10350	3413
752	10355	3396
753	10360	3380
754	10367	3364
755	10372	3347
756	10377	3331
757	10383	3314
758	10387	3298
759	10392	3281
760	10397	3265
761	10401	3248
762	10406	3232
763	10411	3216
764	10417	3200
765	10422	3183
766	10427	3167
767	10434	3152
768	10439	3135
769	10443	3119
770	10447	3103
771	10452	3087
772	10457	3070
773	10461	3054
774	10467	3038
775	10472	3023
776	10478	3007
777	10483	2991
778	10488	2975
779	10492	2959
780	10497	2943
781	10502	2927
782	10507	2912
783	10512	2896
784	10517	2880
785	10522	2864
786	10527	2849
787	10532	2833
788	10538	2818
789	10543	2802
790	10548	2787
791	10554	2771
792	10558	2756
793	10563	2740
794	10567	2725
795	10574	2709
796	10580	2694
797	10584	2679
798	10589	2663
799	10593	2648
800	10598	2633
801	10603	2617
802	10608	2602
803	10614	2587
804	10619	2572
805	10626	2557
806	10631	2542
807	10637	2527
808	10643	2512
809	10649	2498
810	10654	2483
811	10660	2468
812	10666	2453
813	10672	2438
814	10677	2423
815	10683	2409
816	10689	2394
817	10696	2379
818	10701	2365
819	10705	2350
820	10711	2335
821	10717	2320
822	10725	2306
823	10730	2291
824	10736	2277
825	10741	2262
826	10747	2248
827	10753	2233
828	10759	2219
829	10765	2205
830	10770	2190
831	10776	2175
832	10781	2161
833	10786	2146
834	10791	2132
835	10797	2118
836	10802	2103
837	10807	2089
838	10812	2074
839	10817	2060
840	10823	2046
841	10828	2032
842	10833	2017
843	10838	2003
844	10843	1988
845	10848	1974
846	10853	1960
847	10860	1946
848	10866	1932
849	10870	1918
850	10875	1904
851	10880	1890
852	10886	1876
853	10891	1862
854	10897	1848
855	10902	1834
856	10906	1819
857	10911	1805
858	10917	1792
859	10921	1777
860	10926	1764
861	10932	1750
862	10937	1736
863	10942	1722
864	10946	1708
865	10950	1694
866	10955	1680
867	10959	1666
868	10964	1652
869	10971	1639
870	10975	1625
871	10979	1611
872	10986	1598
873	10992	1584
874	11001	1571
875	11011	1558
876	11017	1545
877	11023	1531
878	11029	1518
879	11035	1504
880	11042	1491
881	11047	1477
882	11051	1464
883	11058	1451
884	11067	1438
885	11077	1425
886	11083	1411
887	11091	1398
888	11098	1385
889	11103	1372
890	11111	1359
891	11117	1346
892	11124	1332
893	11131	1319
894	11138	1306
895	11144	1293
896	11150	1280
897	11160	1267
898	11166	1254
899	11172	1241
900	11179	1228
901	11186	1215
902	11194	1202
903	11200	1189
904	11206	1176
905	11214	1163
906	11229	1151
907	11234	1138
908	11240	1125
909	11248	1112
910	11253	1099
911	11258	1086
912	11286	1075
913	11292	1062
914	11302	1049
915	11312	1037
916	11325	1025
917	11331	1012
918	11376	1002
919	11405	991
920	11423	979
921	11446	968
922	11469	956
923	11514	947
924	11552	936
925	11577	925
926	11597	913
927	11615	901
928	11643	889
929	11684	879
930	11768	872
931	12073	880
932	12135	871
933	12233	864
934	12321	856
935	12421	849
936	12496	840
937	12593	832
938	12637	820
939	12669	808
940	12701	796
941	12721	783
942	13269	802
943	13591	806
944	14796	861
945	14796	861
946	14950	837
947	15145	831
948	15854	852
949	15966	841
950	16046	827
951	16082	811
952	16128	796
953	16426	792
954	16575	781
955	16745	771
956	16797	755
957	16847	739
958	17329	741
959	17586	733
960	17698	718
961	17782	703
962	17795	684
963	17807	665
964	17819	646
965	18920	666
966	19063	651
967	19193	635
968	19872	636
969	20726	641
970	20877	624
971	20981	605
972	21732	603
973	21957	586
974	22057	566
975	22094	543
976	22133	521
977	22211	500
978	22558	484
979	22670	463
980	22775	441
981	22795	418
982	22828	395
983	23527	382
984	23618	360
985	23702	336
986	23733	312
987	23760	288
988	23784	264
989	24018	242
990	24180	219
991	24208	195
992	24226	170
993	24233	146
994	24249	121
995	24266	97
996	24279	73
997	24296	48
998	24313	24
999	24327	0
