iter	MultiClass
0	1.035809662
1	0.9824074721
2	0.9218791693
3	0.8788304038
4	0.8242351414
5	0.7852585488
6	0.7459824043
7	0.7132323048
8	0.6790126828
9	0.6482010498
10	0.6217628093
11	0.5992560729
12	0.5713122596
13	0.5464320856
14	0.5177316842
15	0.4952231865
16	0.4740870023
17	0.4560241652
18	0.4355688168
19	0.4215478323
20	0.4073571005
21	0.3953926037
22	0.3834615207
23	0.371064186
24	0.3609328289
25	0.3516534096
26	0.3413585399
27	0.3293600356
28	0.3184337888
29	0.3083439345
30	0.2997631798
31	0.2900481363
32	0.2806754757
33	0.2732860178
34	0.2662749256
35	0.2588487795
36	0.2510521597
37	0.2439195739
38	0.2360443158
39	0.2307586812
40	0.2234936649
41	0.2171242515
42	0.2127903923
43	0.2071811219
44	0.2025805419
45	0.1972815178
46	0.1936653047
47	0.1887931719
48	0.1832527587
49	0.1786659602
50	0.1744704733
51	0.1710471383
52	0.1670317256
53	0.1623004498
54	0.1584007144
55	0.1554527906
56	0.1525168734
57	0.149254274
58	0.1462122187
59	0.1437911466
60	0.1413272606
61	0.1387329951
62	0.1364686149
63	0.1340881495
64	0.1314925291
65	0.1297898018
66	0.1272138055
67	0.1252461116
68	0.1230638133
69	0.120848822
70	0.1182372763
71	0.1161452917
72	0.1138149465
73	0.1122070265
74	0.1105167421
75	0.1086615231
76	0.1061133656
77	0.1046939624
78	0.1027656634
79	0.1011742985
80	0.09984592971
81	0.09810672763
82	0.09675863471
83	0.0951781736
84	0.09331377152
85	0.09181306185
86	0.09010502604
87	0.08897462311
88	0.08782498882
89	0.08671550875
90	0.08573156346
91	0.08426846071
92	0.08313293055
93	0.08205920165
94	0.08096640096
95	0.07996364542
96	0.07872353188
97	0.07775477
98	0.0769663885
99	0.07588782186
100	0.07477732735
101	0.07359959468
102	0.07251358178
103	0.07138021396
104	0.07056269524
105	0.06926896763
106	0.06857284258
107	0.06744112362
108	0.0665494706
109	0.06566298866
110	0.06503317642
111	0.06402426175
112	0.06314624256
113	0.06235139414
114	0.06149979236
115	0.06086193321
116	0.06029633024
117	0.05966371048
118	0.05866507284
119	0.05808784191
120	0.05730343782
121	0.05661606969
122	0.05592778096
123	0.05538505051
124	0.05482514849
125	0.05418038777
126	0.05342369227
127	0.0528333888
128	0.05220497783
129	0.05166614444
130	0.05116119962
131	0.05040658168
132	0.0496914392
133	0.04901663588
134	0.04849178673
135	0.04781128784
136	0.04724999023
137	0.04668066595
138	0.04623499168
139	0.04548403958
140	0.04512632227
141	0.04474320232
142	0.04427539642
143	0.04400691314
144	0.04354564471
145	0.04307250885
146	0.04272195277
147	0.042411094
148	0.04209515143
149	0.04172794472
150	0.04129372947
151	0.04090372568
152	0.04057118633
153	0.04022827332
154	0.03985270191
155	0.03936751713
156	0.03910491818
157	0.03870100966
158	0.03835026672
159	0.03798527771
160	0.03772753939
161	0.03750041122
162	0.03717206922
163	0.03690509523
164	0.036601424
165	0.03625977072
166	0.03598094786
167	0.03572289871
168	0.03543640867
169	0.03508170846
170	0.03481112968
171	0.03439887982
172	0.03412668019
173	0.03378270932
174	0.03343191062
175	0.03321965762
176	0.03288954105
177	0.032557246
178	0.03234046646
179	0.03216317595
180	0.03189706572
181	0.03163487492
182	0.03146108171
183	0.03122973664
184	0.03103309144
185	0.03078094109
186	0.03048728407
187	0.03024242683
188	0.03003080121
189	0.02984226625
190	0.02968045437
191	0.02945502404
192	0.02919516121
193	0.0290252073
194	0.02879551409
195	0.02857142111
196	0.02841328527
197	0.02819504975
198	0.02799189963
199	0.02780862961
200	0.0275943952
201	0.02741371902
202	0.027219656
203	0.02695852909
204	0.02681932606
205	0.02661704952
206	0.02639601035
207	0.0262709841
208	0.02610184334
209	0.02596450548
210	0.02571644804
211	0.02556474687
212	0.02543867122
213	0.02528831684
214	0.02512143641
215	0.02499548024
216	0.02484156513
217	0.02470267015
218	0.0245534188
219	0.02446610772
220	0.02435261112
221	0.02417666321
222	0.02406141104
223	0.02392261699
224	0.02387725544
225	0.02381685974
226	0.02366119062
227	0.02358091794
228	0.02344136185
229	0.02333388777
230	0.02318826554
231	0.02302562164
232	0.02291410059
233	0.02280717962
234	0.02264558943
235	0.022495202
236	0.02234226093
237	0.02219656699
238	0.0220819142
239	0.02195980673
240	0.02184302588
241	0.02176025529
242	0.02165148201
243	0.02149993776
244	0.02136895323
245	0.0212314441
246	0.02111859291
247	0.02096467898
248	0.02086013692
249	0.02074476598
250	0.0206230855
251	0.0204988281
252	0.02039487249
253	0.02026535215
254	0.02013079605
255	0.01997794327
256	0.01988219273
257	0.01975220767
258	0.0196595149
259	0.01953667399
260	0.01944808497
261	0.01934769186
262	0.01925706215
263	0.01913602532
264	0.01908431072
265	0.01898195622
266	0.01883980174
267	0.01873065211
268	0.01859297306
269	0.01850149846
270	0.01839812013
271	0.01831626912
272	0.01823230183
273	0.01816599639
274	0.01809743792
275	0.01800254984
276	0.01793007851
277	0.01787135818
278	0.01776166002
279	0.01766383369
280	0.01758191669
281	0.01749559712
282	0.01740114256
283	0.0173373508
284	0.01725699941
285	0.01713772318
286	0.01709857274
287	0.01702871907
288	0.01697292011
289	0.01690905111
290	0.01683961909
291	0.01676186775
292	0.01665491012
293	0.01659238576
294	0.01651418436
295	0.01643872657
296	0.01637583519
297	0.01631230378
298	0.01621308508
299	0.01612439804
300	0.01607214037
301	0.01596925139
302	0.01587776635
303	0.01580833287
304	0.01575487527
305	0.01568013179
306	0.01560145139
307	0.01553557057
308	0.01547140316
309	0.01542217882
310	0.0153537131
311	0.01528799571
312	0.01523155339
313	0.01516987749
314	0.01511730888
315	0.01506750124
316	0.01502343436
317	0.01497518108
318	0.01491988858
319	0.0148506562
320	0.01479245699
321	0.01471964108
322	0.01465107958
323	0.01459132193
324	0.01452062699
325	0.01444105022
326	0.01438904892
327	0.01434125963
328	0.01428277802
329	0.01422969089
330	0.01418981298
331	0.01414095534
332	0.01408926281
333	0.01405376802
334	0.01400688325
335	0.01393085263
336	0.01388560044
337	0.0138041183
338	0.01374373306
339	0.01370099311
340	0.01366056953
341	0.01360598192
342	0.01356362859
343	0.01351327508
344	0.01344490961
345	0.01340493557
346	0.01337247813
347	0.01333548897
348	0.01326890889
349	0.01322915661
350	0.01317944143
351	0.01314102673
352	0.01310298738
353	0.01305737854
354	0.01300846944
355	0.0129570665
356	0.01289427301
357	0.01285308874
358	0.01280853668
359	0.01276910193
360	0.01273075087
361	0.01269121439
362	0.01265300838
363	0.01262525317
364	0.01259900038
365	0.01256672492
366	0.01252934022
367	0.01248720887
368	0.01244718747
369	0.01238926582
370	0.01237328054
371	0.01234505551
372	0.01231523154
373	0.01227496204
374	0.01223590796
375	0.01219167619
376	0.01215430685
377	0.01211159776
378	0.0120628564
379	0.01205321096
380	0.01202638866
381	0.0119935258
382	0.01194938316
383	0.01191646471
384	0.01187545749
385	0.01183631124
386	0.01180537407
387	0.01175599169
388	0.01172356512
389	0.01168181185
390	0.01166074679
391	0.01161789238
392	0.01159377719
393	0.01155321998
394	0.01151044735
395	0.01147230054
396	0.01142709654
397	0.01139768388
398	0.01136448214
399	0.01130300358
400	0.01125559498
401	0.01121333489
402	0.0111705489
403	0.01113851096
404	0.01110836962
405	0.01107529636
406	0.01104781441
407	0.0110175758
408	0.01098145773
409	0.01095387937
410	0.01092117437
411	0.01089901413
412	0.01087348595
413	0.01085864884
414	0.0108267123
415	0.01080076348
416	0.01077014222
417	0.01073705646
418	0.01069334643
419	0.01065493698
420	0.0106273081
421	0.01058748822
422	0.01056275852
423	0.01053405243
424	0.01049651787
425	0.01045378801
426	0.01042232617
427	0.01039815167
428	0.0103668997
429	0.01033590657
430	0.01029962109
431	0.01026049041
432	0.01021101728
433	0.01018790551
434	0.0101637739
435	0.01013345328
436	0.01010874541
437	0.01006573312
438	0.01003366291
439	0.01001183201
440	0.009978287542
441	0.009942764019
442	0.009925209542
443	0.009898470361
444	0.009868467408
445	0.009840259824
446	0.009803194722
447	0.009775342724
448	0.0097526045
449	0.009733177012
450	0.00971567177
451	0.009705160549
452	0.009681677508
453	0.009662305444
454	0.009634429634
455	0.009607651916
456	0.009561432972
457	0.009537016616
458	0.009512267713
459	0.009490892155
460	0.00945649134
461	0.009444744747
462	0.009420401828
463	0.009409350387
464	0.009390933494
465	0.009370246887
466	0.009343167547
467	0.009326152395
468	0.009304722499
469	0.009285261142
470	0.009265322042
471	0.009246189307
472	0.009228102103
473	0.009201756236
474	0.009183094417
475	0.00915919494
476	0.00914892647
477	0.009128949472
478	0.009107565785
479	0.009080336004
480	0.009057731404
481	0.009035836733
482	0.009015334076
483	0.008990084136
484	0.008976847828
485	0.008969738054
486	0.008946414401
487	0.008924823235
488	0.008899738656
489	0.008867769447
490	0.008839861768
491	0.008818499158
492	0.008811803165
493	0.00878562226
494	0.008766606332
495	0.008743207884
496	0.008722828058
497	0.008704046834
498	0.008685336951
499	0.008658470218
500	0.008632110598
501	0.008612601239
502	0.008596487117
503	0.008582679627
504	0.008563486633
505	0.008542981903
506	0.008513728363
507	0.00849609058
508	0.00847636204
509	0.00845314436
510	0.008432242069
511	0.008400238907
512	0.008386052194
513	0.008369651793
514	0.008348626615
515	0.008329575268
516	0.008311924127
517	0.008282132861
518	0.008267256745
519	0.008246169531
520	0.008226404539
521	0.008207185197
522	0.008191443599
523	0.008166404288
